source_host,dest_host,negative_average_owd
perfsonar1.ihepa.ufl.edu,psonar1.lal.in2p3.fr,-1337.185570425671
lcg-pslat.uw.computecanada.ca,lat-utoronto.scinet.utoronto.ca,-19.019415511585116
lcg-pslat.uw.computecanada.ca,lat.scinet.utoronto.ca,-69.69403646479702
lcg-pslat.uw.computecanada.ca,perfsonar-ps-01.desy.de,-18.86410311934653
lcg-pslat.uw.computecanada.ca,perfsonar-latency.esc.qmul.ac.uk,-25.467972785045273
lcg-pslat.uw.computecanada.ca,perfson1.ppgrid1.rhul.ac.uk,-18.070325909433745
lcg-pslat.uw.computecanada.ca,iut2-net1.iu.edu,-53.32969989234192
lcg-pslat.uw.computecanada.ca,lcg-lat.sfu.computecanada.ca,-50.56060732671304
lcg-pslat.uw.computecanada.ca,atlas-npt1.bu.edu,-45.234091613178265
lcg-pslat.uw.computecanada.ca,heplnx129.pp.rl.ac.uk,-18.701272531263328
lcg-pslat.uw.computecanada.ca,psnr-farm10.slac.stanford.edu,-32.57074402209615
lcg-pslat.uw.computecanada.ca,perfson1.zeuthen.desy.de,-3.8866368805117752
lcg-pslat.uw.computecanada.ca,ps1.ochep.ou.edu,-677.0156289269647
lcg-pslat.uw.computecanada.ca,uct2-net1.mwt2.org,-54.828496865221275
lcg-pslat.uw.computecanada.ca,marperf02.in2p3.fr,-7.565767436937569
lcg-pslat.uw.computecanada.ca,clrperf-owamp.in2p3.fr,-16.41545121433951
lcg-pslat.uw.computecanada.ca,llrpsonar1.in2p3.fr,-12.544740180127091
lcg-pslat.uw.computecanada.ca,lhcperfmon.bnl.gov,-56.13973043012817
lcg-pslat.uw.computecanada.ca,psmsu01.aglt2.org,-46.144000676978514
lcg-pslat.uw.computecanada.ca,perfsonar-ps.ndgf.org,-9.849395210221543
lcg-pslat.uw.computecanada.ca,lapp-ps02.in2p3.fr,-17.789041730317955
lcg-pslat.uw.computecanada.ca,ccperfsonar2.in2p3.fr,-10.967401176511189
lcg-pslat.uw.computecanada.ca,ps-latency.hepnetcanada.ca,-49.43834516867649
lcg-pslat.uw.computecanada.ca,gridpp-ps-lat.ecdf.ed.ac.uk,-12.80303513542853
lcg-pslat.uw.computecanada.ca,lcgps01.gridpp.rl.ac.uk,-18.536872667039695
lcg-pslat.uw.computecanada.ca,perfsonar-latency.grid.surfsara.nl,-15.007784029501705
lcg-pslat.uw.computecanada.ca,mwt2-ps01.campuscluster.illinois.edu,-54.588700978781766
lcg-pslat.uw.computecanada.ca,perfsonar2.na.infn.it,-8.120856544855672
lcg-pslat.uw.computecanada.ca,perfsonar01.datagrid.cea.fr,-15.706341933319646
lcg-pslat.uw.computecanada.ca,ps-latency.lhcmon.triumf.ca,-61.23562518373041
lcg-pslat.uw.computecanada.ca,t2ps-latency.physics.ox.ac.uk,-16.741139954612777
lcg-pslat.uw.computecanada.ca,perfsonar01.lcg.cscs.ch,-17.480747945758527
lcg-pslat.uw.computecanada.ca,perfsonar2-de-kit.gridka.de,-4.489967227616408
lcg-pslat.uw.computecanada.ca,lpnhe-psl.in2p3.fr,-22.489176689937427
lcg-pslat.uw.computecanada.ca,psl01.pic.es,-3.5526725986558914
lcg-pslat.uw.computecanada.ca,hepsonar2.ph.liv.ac.uk,-14.784787208489634
lcg-pslat.uw.computecanada.ca,perfsonar02-iep-grid.saske.sk,-322745801.74337924
lcg-pslat.uw.computecanada.ca,ps002.gla.scotgrid.ac.uk,-13.732389984147883
lcg-pslat.uw.computecanada.ca,psum01.aglt2.org,-52.46805512214653
lcg-pslat.uw.computecanada.ca,perfsonar2.roma1.infn.it,-2.6011045436178324
ps1.kipt.kharkov.ua,psonar1.lal.in2p3.fr,-1297.6843082492999
ps.truba.gov.tr,psonar1.lal.in2p3.fr,-1351.8096827149616
pship01.csc.fi,psonar1.lal.in2p3.fr,-1364.7001420309105
repos.indiacms.res.in,psonar1.lal.in2p3.fr,-1266.9989068602326
psfrascati02.lnf.infn.it,psonar1.lal.in2p3.fr,-1482.5457906899362
perfsonar01.cmsaf.mit.edu,psonar1.lal.in2p3.fr,-1537.8843500513558
perfsonar01.cmsaf.mit.edu,perflat.ciemat.es,-72.70526931035415
perfsonar2-de-kit.gridka.de,ps1.ochep.ou.edu,-519.8551897975395
nanperfs01.in2p3.fr,psonar1.lal.in2p3.fr,-1341.2554810122965
